commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
all,cost,all,all,all,Cost,FixedCost,1.2815658489081166e9
all,cost,all,all,all,Cost,VariableCost,4.314636179735929e8
all,cost,all,all,all,Cost,TotalCost,1.7130294668817096e9
